room_label,source_file,canonical_file,source_present,copied,status,notes
"Elfhame East Woods","elfhame_eastwoods.png","elfhame_eastwoods.png","yes","yes","todo","copied from new-images"
"Elfhame Hub","elfhame_hub.png","elfhame_hub.png","yes","yes","todo","copied from new-images"
"Elfhame Palace","elfhame_palace.png","elfhame_palace.png","yes","yes","todo","copied from new-images"
"Elfhame Woods","elfhame_woods.png","elfhame_woods.png","yes","yes","todo","copied from new-images"
"Elhame Lake","elhame_lake.png","elhame_lake.png","yes","yes","todo","copied from new-images"
"Glitch Hub","glitch_hub.png","glitch_hub.png","yes","yes","todo","copied from new-images"
"Gorstan Carron","gorstan_carron.png","gorstan_carron.png","yes","yes","todo","copied from new-images"
"Gorstan Carron Spire","gorstan_carronspire.png","gorstan_carronspire.png","yes","yes","todo","copied from new-images"
"Gorstan Hub","gorstan_hub.png","gorstan_hub.png","yes","yes","todo","copied from new-images"
"Gorstan Torridon","gorstan_torridon.png","gorstan_torridon.png","yes","yes","todo","copied from new-images"
"Gorstan Torridon Inn","gorstan_torridon_inn.png","gorstan_torridon_inn.png","yes","yes","todo","copied from new-images"
"Gorstan Torridon Ruined","gorstan_torridon_ruined.png","gorstan_torridon_ruined.png","yes","yes","todo","copied from new-images"
"Control Nexus","intro_controlnexus.png","introzone_controlnexus.png","yes","yes","done","copied from new-images"
"Control Room","intro_controlroom.png","introzone_controlroom.png","yes","yes","done","copied from new-images"
"Intro Reset","intro_introreset.png","introzone_introreset.png","yes","yes","todo","copied from new-images"
"Lattice Hub","lattice_hub.png","lattice_hub.png","yes","yes","todo","copied from new-images"
"Dale's Apartment","london_dalesapartment.png","londonzone_dalesapartment.png","yes","yes","done","copied from new-images"
"Findlater's Café","london_findlaterscafe.png","londonzone_findlaters.png","yes","yes","done","copied from new-images"
"St Katharine's Dock","london_stkatherinesdock.png","londonzone_stkatherinesdock.png","yes","yes","todo","copied from new-images"
"Trent Park","london_trentpark.png","londonzone_trentpark.png","yes","yes","todo","copied from new-images"
"Maze Hub","maze_hub.png","maze_hub.png","yes","yes","todo","copied from new-images"
"Aevira Warehouse","newyork_aevirawarehouse.png","newyork_aevirawarehouse.png","yes","yes","todo","copied from new-images"
"Burger Joint","newyork_burger_joint.png","newyork_burger_joint.png","yes","yes","todo","copied from new-images"
"Central Park","newyork_centralpark.png","newyork_centralpark.png","yes","yes","todo","copied from new-images"
"Greasy Store Room","newyork_greasystoreroom.png","newyork_greasystoreroom.png","yes","yes","todo","copied from new-images"
"New York Hub","newyork_hub.png","newyork_hub.png","yes","yes","todo","copied from new-images"
